session_id,customer_id,device_type,session_start,start_time,session_end,end_time,session_duration_sec,pages_visited,viewed_category,viewed_product
SES000001,CUST0353,Tablet,2023-12-16,12.40.00 PM,2023-12-16,12.41.07 PM,67,2,Electronics,Smartphone
SES000002,CUST0127,Desktop,2023-12-22,10.44.00 AM,2023-12-22,10.45.05 AM,65,7,Electronics,Mouse
SES000003,CUST0189,Desktop,2023-03-08,8.05.00 PM,2023-03-08,8.09.35 PM,275,3,Beauty,Face Wash
SES000004,CUST0384,Tablet,2023-05-24,9.39.00 PM,2023-05-24,9.45.01 PM,361,1,Fashion,T-shirt
SES000005,CUST0355,Tablet,2023-11-14,4.27.00 AM,2023-11-14,4.40.23 AM,803,7,Sports,Football
SES000006,CUST0060,Desktop,2023-09-26,7.01.00 PM,2023-09-26,7.03.34 PM,154,7,Beauty,Face Wash
SES000007,CUST0155,Mobile,2023-12-17,11.01.00 AM,2023-12-17,11.15.01 AM,841,4,Electronics,Headphones
SES000008,CUST0180,Mobile,2023-04-30,3.31.00 AM,2023-04-30,3.38.08 AM,428,4,Fashion,Jacket
SES000009,CUST0191,Desktop,2023-02-23,12.54.00 PM,2023-02-23,1.03.14 PM,554,3,Electronics,Keyboard
SES000010,CUST0314,Desktop,2023-06-21,9.01.00 AM,2023-06-21,9.03.31 AM,151,4,Sports,Cricket Bat
SES000011,CUST0364,Mobile,2023-03-25,6.57.00 PM,2023-03-25,7.00.14 PM,194,9,Groceries,Rice
SES000012,CUST0468,Mobile,2023-05-28,1.01.00 AM,2023-05-28,1.12.06 AM,666,2,Fashion,Jacket
SES000013,CUST0455,Mobile,2023-01-01,7.22.00 AM,2023-01-01,7.29.18 AM,438,6,Electronics,Keyboard
SES000014,CUST0125,Tablet,2023-02-10,1.55.00 AM,2023-02-10,1.57.31 AM,151,1,Sports,Tennis Racket
SES000015,CUST0368,Tablet,2023-09-25,8.57.00 PM,2023-09-25,9.07.13 PM,613,5,Sports,Tennis Racket
SES000016,CUST0106,Desktop,2023-06-05,2.33.00 AM,2023-06-05,2.47.37 AM,877,10,Groceries,Rice
SES000017,CUST0347,Mobile,2023-01-27,4.25.00 PM,2023-01-27,4.34.56 PM,596,10,Fashion,T-shirt
SES000018,CUST0331,Tablet,2023-05-15,12.20.00 AM,2023-05-15,12.26.53 AM,413,4,Fashion,T-shirt
SES000019,CUST0411,Desktop,2023-10-23,5.56.00 AM,2023-10-23,6.01.10 AM,310,14,Beauty,Shampoo
SES000020,CUST0363,Desktop,2023-06-08,3.45.00 AM,2023-06-08,3.52.13 AM,433,1,Sports,Tennis Racket
SES000021,CUST0026,Mobile,2023-03-01,7.49.00 PM,2023-03-01,8.00.47 PM,707,7,Groceries,Rice
SES000022,CUST0183,Desktop,2023-08-17,10.34.00 AM,2023-08-17,10.34.55 AM,55,7,Electronics,Headphones
SES000023,CUST0461,Tablet,2023-01-14,6.01.00 PM,2023-01-14,6.12.43 PM,703,3,Beauty,Face Wash
SES000024,CUST0242,Tablet,2023-05-22,3.22.00 AM,2023-05-22,3.32.54 AM,654,6,Sports,Football
SES000025,CUST0316,Desktop,2023-04-28,2.44.00 PM,2023-04-28,2.54.48 PM,648,3,Fashion,T-shirt
